library_name,batch,sample_name,sequencing_batch,device_operation,habitat,station,cruise,type,experiment,fwd,rev
Brine-0.1-10,LogRomIII,,,,Brackish brine,LogRomIII_10,LogRomIII,DNA,,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-10_fwd.fastq.gz,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-10_rev.fastq.gz
Brine-0.1-12,LogRomIII,,,,Brackish brine,LogRomIII_12,LogRomIII,DNA,,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-12_fwd.fastq.gz,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-12_rev.fastq.gz
Brine-0.1-14,LogRomIII,,,,Brackish brine,LogRomIII_14,LogRomIII,DNA,,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-14_fwd.fastq.gz,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-14_rev.fastq.gz
Brine-0.1-15,LogRomIII,,,,Brackish brine,LogRomIII_15,LogRomIII,DNA,,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-15_fwd.fastq.gz,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-15_rev.fastq.gz
Brine-0.1-19,LogRomIII,,,,Brackish brine,LogRomIII_19,LogRomIII,DNA,,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-19_fwd.fastq.gz,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-19_rev.fastq.gz
Brine-0.1-1,LogRomIII,,,,Brackish brine,LogRomIII_1,LogRomIII,DNA,,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-1_fwd.fastq.gz,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-1_rev.fastq.gz
Brine-0.1-21,LogRomIII,,,,Brackish brine,LogRomIII_21,LogRomIII,DNA,,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-21_fwd.fastq.gz,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-21_rev.fastq.gz
Brine-0.1-23,LogRomIII,,,,Brackish brine,LogRomIII_23,LogRomIII,DNA,,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-23_fwd.fastq.gz,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-23_rev.fastq.gz
Brine-0.1-2,LogRomIII,,,,Brackish brine,LogRomIII_2,LogRomIII,DNA,,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-2_fwd.fastq.gz,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-2_rev.fastq.gz
Brine-0.1-5,LogRomIII,,,,Brackish brine,LogRomIII_5,LogRomIII,DNA,,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-5_fwd.fastq.gz,/proj/fume/raw_data/central_arctic_ocean/odin-2013/genomic/Brine-0.1-5_rev.fastq.gz
